date,home_team,home_score,away_score,away_team,tournament,country,city,year
1994-06-17,Germany,1,0,Bolivia,FIFA WC 1994,United States,Chicago,1994
1994-06-17,Spain,2,2,South Korea,FIFA WC 1994,United States,Dallas,1994
1994-06-18,Colombia,1,3,Romania,FIFA WC 1994,United States,Pasadena,1994
1994-06-18,Italy,0,1,Republic of Ireland,FIFA WC 1994,United States,East Rutherford,1994
1994-06-18,United States,1,1,Switzerland,FIFA WC 1994,United States,Pontiac,1994
1994-06-19,Belgium,1,0,Morocco,FIFA WC 1994,United States,Orlando,1994
1994-06-19,Cameroon,2,2,Sweden,FIFA WC 1994,United States,Pasadena,1994
1994-06-19,Norway,1,0,Mexico,FIFA WC 1994,United States,Washington,1994
1994-06-20,Brazil,2,0,Russia,FIFA WC 1994,United States,Palo Alto,1994
1994-06-20,Netherlands,2,1,Saudi Arabia,FIFA WC 1994,United States,Washington,1994
1994-06-21,Argentina,4,0,Greece,FIFA WC 1994,United States,Foxborough,1994
1994-06-21,Germany,1,1,Spain,FIFA WC 1994,United States,Chicago,1994
1994-06-21,Nigeria,3,0,Bulgaria,FIFA WC 1994,United States,Dallas,1994
1994-06-22,Romania,1,4,Switzerland,FIFA WC 1994,United States,Pontiac,1994
1994-06-22,United States,2,1,Colombia,FIFA WC 1994,United States,Pasadena,1994
1994-06-23,Italy,1,0,Norway,FIFA WC 1994,United States,East Rutherford,1994
1994-06-23,South Korea,0,0,Bolivia,FIFA WC 1994,United States,Foxborough,1994
1994-06-24,Brazil,3,0,Cameroon,FIFA WC 1994,United States,Palo Alto,1994
1994-06-24,Mexico,2,1,Republic of Ireland,FIFA WC 1994,United States,Orlando,1994
1994-06-24,Sweden,3,1,Russia,FIFA WC 1994,United States,Pontiac,1994
1994-06-25,Argentina,2,1,Nigeria,FIFA WC 1994,United States,Foxborough,1994
1994-06-25,Belgium,1,0,Netherlands,FIFA WC 1994,United States,Orlando,1994
1994-06-25,Saudi Arabia,2,1,Morocco,FIFA WC 1994,United States,East Rutherford,1994
1994-06-26,Bulgaria,4,0,Greece,FIFA WC 1994,United States,Chicago,1994
1994-06-26,Switzerland,0,2,Colombia,FIFA WC 1994,United States,Palo Alto,1994
1994-06-26,United States,0,1,Romania,FIFA WC 1994,United States,Pasadena,1994
1994-06-27,Bolivia,1,3,Spain,FIFA WC 1994,United States,Chicago,1994
1994-06-27,Germany,3,2,South Korea,FIFA WC 1994,United States,Dallas,1994
1994-06-28,Brazil,1,1,Sweden,FIFA WC 1994,United States,Pontiac,1994
1994-06-28,Republic of Ireland,0,0,Norway,FIFA WC 1994,United States,East Rutherford,1994
1994-06-28,Italy,1,1,Mexico,FIFA WC 1994,United States,Washington,1994
1994-06-28,Russia,6,1,Cameroon,FIFA WC 1994,United States,Palo Alto,1994
1994-06-29,Belgium,0,1,Saudi Arabia,FIFA WC 1994,United States,Washington,1994
1994-06-29,Morocco,1,2,Netherlands,FIFA WC 1994,United States,Orlando,1994
1994-06-30,Argentina,0,2,Bulgaria,FIFA WC 1994,United States,Dallas,1994
1994-06-30,Greece,0,2,Nigeria,FIFA WC 1994,United States,Foxborough,1994
1994-07-02,Germany,3,2,Belgium,FIFA WC 1994,United States,Chicago,1994
1994-07-02,Spain,3,0,Switzerland,FIFA WC 1994,United States,Washington,1994
1994-07-03,Romania,3,2,Argentina,FIFA WC 1994,United States,Pasadena,1994
1994-07-03,Saudi Arabia,1,3,Sweden,FIFA WC 1994,United States,Dallas,1994
1994-07-04,Netherlands,2,0,Republic of Ireland,FIFA WC 1994,United States,Orlando,1994
1994-07-04,United States,0,1,Brazil,FIFA WC 1994,United States,Palo Alto,1994
1994-07-05,Mexico,1,1,Bulgaria,FIFA WC 1994,United States,East Rutherford,1994
1994-07-05,Nigeria,1,2,Italy,FIFA WC 1994,United States,Foxborough,1994
1994-07-09,Italy,2,1,Spain,FIFA WC 1994,United States,Foxborough,1994
1994-07-09,Netherlands,2,3,Brazil,FIFA WC 1994,United States,Dallas,1994
1994-07-10,Bulgaria,2,1,Germany,FIFA WC 1994,United States,East Rutherford,1994
1994-07-10,Romania,2,2,Sweden,FIFA WC 1994,United States,Palo Alto,1994
1994-07-13,Bulgaria,1,2,Italy,FIFA WC 1994,United States,East Rutherford,1994
1994-07-13,Sweden,0,1,Brazil,FIFA WC 1994,United States,Pasadena,1994
1994-07-16,Sweden,4,0,Bulgaria,FIFA WC 1994,United States,Pasadena,1994
1994-07-17,Brazil,0,0,Italy,FIFA WC 1994,United States,Pasadena,1994
1998-06-10,Brazil,2,1,Scotland,FIFA WC 1998,France,Saint-Denis,1998
1998-06-10,Morocco,2,2,Norway,FIFA WC 1998,France,Montpellier,1998
1998-06-11,Cameroon,1,1,Austria,FIFA WC 1998,France,Toulouse,1998
1998-06-11,Italy,2,2,Chile,FIFA WC 1998,France,Bordeaux,1998
1998-06-12,France,3,0,South Africa,FIFA WC 1998,France,Marseille,1998
1998-06-12,Paraguay,0,0,Bulgaria,FIFA WC 1998,France,Montpellier,1998
1998-06-12,Saudi Arabia,0,1,Denmark,FIFA WC 1998,France,Lens,1998
1998-06-13,South Korea,1,3,Mexico,FIFA WC 1998,France,Lyon,1998
1998-06-13,Netherlands,0,0,Belgium,FIFA WC 1998,France,Saint-Denis,1998
1998-06-13,Spain,2,3,Nigeria,FIFA WC 1998,France,Nantes,1998
1998-06-14,Argentina,1,0,Japan,FIFA WC 1998,France,Toulouse,1998
1998-06-14,Jamaica,1,3,Croatia,FIFA WC 1998,France,Lens,1998
1998-06-14,Serbia,1,0,Iran,FIFA WC 1998,France,Saint-Étienne,1998
1998-06-15,England,2,0,Tunisia,FIFA WC 1998,France,Marseille,1998
1998-06-15,Germany,2,0,United States,FIFA WC 1998,France,Paris,1998
1998-06-15,Romania,1,0,Colombia,FIFA WC 1998,France,Lyon,1998
1998-06-16,Brazil,3,0,Morocco,FIFA WC 1998,France,Nantes,1998
1998-06-16,Scotland,1,1,Norway,FIFA WC 1998,France,Bordeaux,1998
1998-06-17,Chile,1,1,Austria,FIFA WC 1998,France,Saint-Étienne,1998
1998-06-17,Italy,3,0,Cameroon,FIFA WC 1998,France,Montpellier,1998
1998-06-18,France,4,0,Saudi Arabia,FIFA WC 1998,France,Saint-Denis,1998
1998-06-18,South Africa,1,1,Denmark,FIFA WC 1998,France,Toulouse,1998
1998-06-19,Nigeria,1,0,Bulgaria,FIFA WC 1998,France,Paris,1998
1998-06-19,Spain,0,0,Paraguay,FIFA WC 1998,France,Saint-Étienne,1998
1998-06-20,Belgium,2,2,Mexico,FIFA WC 1998,France,Bordeaux,1998
1998-06-20,Japan,0,1,Croatia,FIFA WC 1998,France,Nantes,1998
1998-06-20,Netherlands,5,0,South Korea,FIFA WC 1998,France,Marseille,1998
1998-06-21,Argentina,5,0,Jamaica,FIFA WC 1998,France,Paris,1998
1998-06-21,Germany,2,2,Serbia,FIFA WC 1998,France,Lens,1998
1998-06-21,United States,1,2,Iran,FIFA WC 1998,France,Lyon,1998
1998-06-22,Colombia,1,0,Tunisia,FIFA WC 1998,France,Montpellier,1998
1998-06-22,Romania,2,1,England,FIFA WC 1998,France,Toulouse,1998
1998-06-23,Brazil,1,2,Norway,FIFA WC 1998,France,Marseille,1998
1998-06-23,Chile,1,1,Cameroon,FIFA WC 1998,France,Nantes,1998
1998-06-23,Italy,2,1,Austria,FIFA WC 1998,France,Saint-Denis,1998
1998-06-23,Scotland,0,3,Morocco,FIFA WC 1998,France,Saint-Étienne,1998
1998-06-24,France,2,1,Denmark,FIFA WC 1998,France,Lyon,1998
1998-06-24,Nigeria,1,3,Paraguay,FIFA WC 1998,France,Toulouse,1998
1998-06-24,South Africa,2,2,Saudi Arabia,FIFA WC 1998,France,Bordeaux,1998
1998-06-24,Spain,6,1,Bulgaria,FIFA WC 1998,France,Lens,1998
1998-06-25,Belgium,1,1,South Korea,FIFA WC 1998,France,Paris,1998
1998-06-25,Germany,2,0,Iran,FIFA WC 1998,France,Montpellier,1998
1998-06-25,Netherlands,2,2,Mexico,FIFA WC 1998,France,Saint-Étienne,1998
1998-06-25,United States,0,1,Serbia,FIFA WC 1998,France,Nantes,1998
1998-06-26,Argentina,1,0,Croatia,FIFA WC 1998,France,Bordeaux,1998
1998-06-26,Colombia,0,2,England,FIFA WC 1998,France,Lens,1998
1998-06-26,Japan,1,2,Jamaica,FIFA WC 1998,France,Lyon,1998
1998-06-26,Romania,1,1,Tunisia,FIFA WC 1998,France,Saint-Denis,1998
1998-06-27,Brazil,4,1,Chile,FIFA WC 1998,France,Paris,1998
1998-06-27,Italy,1,0,Norway,FIFA WC 1998,France,Marseille,1998
1998-06-28,France,1,0,Paraguay,FIFA WC 1998,France,Lens,1998
1998-06-28,Nigeria,1,4,Denmark,FIFA WC 1998,France,Saint-Denis,1998
1998-06-29,Germany,2,1,Mexico,FIFA WC 1998,France,Montpellier,1998
1998-06-29,Netherlands,2,1,Serbia,FIFA WC 1998,France,Toulouse,1998
1998-06-30,Argentina,2,2,England,FIFA WC 1998,France,Saint-Étienne,1998
1998-06-30,Romania,0,1,Croatia,FIFA WC 1998,France,Bordeaux,1998
1998-07-03,Brazil,3,2,Denmark,FIFA WC 1998,France,Nantes,1998
1998-07-03,France,0,0,Italy,FIFA WC 1998,France,Saint-Denis,1998
1998-07-04,Germany,0,3,Croatia,FIFA WC 1998,France,Lyon,1998
1998-07-04,Netherlands,2,1,Argentina,FIFA WC 1998,France,Marseille,1998
1998-07-07,Brazil,1,1,Netherlands,FIFA WC 1998,France,Marseille,1998
1998-07-08,France,2,1,Croatia,FIFA WC 1998,France,Saint-Denis,1998
1998-07-11,Netherlands,1,2,Croatia,FIFA WC 1998,France,Paris,1998
1998-07-12,France,3,0,Brazil,FIFA WC 1998,France,Saint-Denis,1998
2002-05-31,France,0,1,Senegal,FIFA WC 2002,South Korea,Seoul,2002
2002-06-01,Germany,8,0,Saudi Arabia,FIFA WC 2002,Japan,Sapporo,2002
2002-06-01,Republic of Ireland,1,1,Cameroon,FIFA WC 2002,Japan,Niigata,2002
2002-06-01,Uruguay,1,2,Denmark,FIFA WC 2002,South Korea,Ulsan,2002
2002-06-02,Argentina,1,0,Nigeria,FIFA WC 2002,Japan,Kashima,2002
2002-06-02,England,1,1,Sweden,FIFA WC 2002,Japan,Saitama,2002
2002-06-02,Paraguay,2,2,South Africa,FIFA WC 2002,South Korea,Busan,2002
2002-06-02,Spain,3,1,Slovenia,FIFA WC 2002,South Korea,Gwangju,2002
2002-06-03,Brazil,2,1,Turkey,FIFA WC 2002,South Korea,Ulsan,2002
2002-06-03,Croatia,0,1,Mexico,FIFA WC 2002,Japan,Niigata,2002
2002-06-03,Italy,2,0,Ecuador,FIFA WC 2002,Japan,Sapporo,2002
2002-06-04,China PR,0,2,Costa Rica,FIFA WC 2002,South Korea,Gwangju,2002
2002-06-04,Japan,2,2,Belgium,FIFA WC 2002,Japan,Saitama,2002
2002-06-04,South Korea,2,0,Poland,FIFA WC 2002,South Korea,Busan,2002
2002-06-05,Germany,1,1,Republic of Ireland,FIFA WC 2002,Japan,Kashima,2002
2002-06-05,Russia,2,0,Tunisia,FIFA WC 2002,Japan,Kobe,2002
2002-06-05,United States,3,2,Portugal,FIFA WC 2002,South Korea,Suwon,2002
2002-06-06,Cameroon,1,0,Saudi Arabia,FIFA WC 2002,Japan,Saitama,2002
2002-06-06,Denmark,1,1,Senegal,FIFA WC 2002,South Korea,Daegu,2002
2002-06-06,France,0,0,Uruguay,FIFA WC 2002,South Korea,Busan,2002
2002-06-07,Argentina,0,1,England,FIFA WC 2002,Japan,Sapporo,2002
2002-06-07,Spain,3,1,Paraguay,FIFA WC 2002,South Korea,Jeonju,2002
2002-06-07,Sweden,2,1,Nigeria,FIFA WC 2002,Japan,Kobe,2002
2002-06-08,Brazil,4,0,China PR,FIFA WC 2002,South Korea,Seogwipo,2002
2002-06-08,Italy,1,2,Croatia,FIFA WC 2002,Japan,Kashima,2002
2002-06-08,South Africa,1,0,Slovenia,FIFA WC 2002,South Korea,Daegu,2002
2002-06-09,Costa Rica,1,1,Turkey,FIFA WC 2002,South Korea,Incheon,2002
2002-06-09,Japan,1,0,Russia,FIFA WC 2002,Japan,Yokohama,2002
2002-06-09,Mexico,2,1,Ecuador,FIFA WC 2002,Japan,Rifu,2002
2002-06-10,South Korea,1,1,United States,FIFA WC 2002,South Korea,Daegu,2002
2002-06-10,Portugal,4,0,Poland,FIFA WC 2002,South Korea,Jeonju,2002
2002-06-10,Tunisia,1,1,Belgium,FIFA WC 2002,Japan,Ōita,2002
2002-06-11,Cameroon,0,2,Germany,FIFA WC 2002,Japan,Fukuroi,2002
2002-06-11,Denmark,2,0,France,FIFA WC 2002,South Korea,Incheon,2002
2002-06-11,Saudi Arabia,0,3,Republic of Ireland,FIFA WC 2002,Japan,Yokohama,2002
2002-06-11,Senegal,3,3,Uruguay,FIFA WC 2002,South Korea,Suwon,2002
2002-06-12,Nigeria,0,0,England,FIFA WC 2002,Japan,Osaka,2002
2002-06-12,Slovenia,1,3,Paraguay,FIFA WC 2002,South Korea,Seogwipo,2002
2002-06-12,South Africa,2,3,Spain,FIFA WC 2002,South Korea,Daejeon,2002
2002-06-12,Sweden,1,1,Argentina,FIFA WC 2002,Japan,Rifu,2002
2002-06-13,Costa Rica,2,5,Brazil,FIFA WC 2002,South Korea,Suwon,2002
2002-06-13,Ecuador,1,0,Croatia,FIFA WC 2002,Japan,Yokohama,2002
2002-06-13,Mexico,1,1,Italy,FIFA WC 2002,Japan,Ōita,2002
2002-06-13,Turkey,3,0,China PR,FIFA WC 2002,South Korea,Seoul,2002
2002-06-14,Belgium,3,2,Russia,FIFA WC 2002,Japan,Fukuroi,2002
2002-06-14,Japan,2,0,Tunisia,FIFA WC 2002,Japan,Osaka,2002
2002-06-14,South Korea,1,0,Portugal,FIFA WC 2002,South Korea,Incheon,2002
2002-06-14,Poland,3,1,United States,FIFA WC 2002,South Korea,Daejeon,2002
2002-06-15,Denmark,0,3,England,FIFA WC 2002,Japan,Niigata,2002
2002-06-15,Germany,1,0,Paraguay,FIFA WC 2002,South Korea,Seogwipo,2002
2002-06-16,Spain,1,1,Republic of Ireland,FIFA WC 2002,South Korea,Suwon,2002
2002-06-16,Sweden,1,2,Senegal,FIFA WC 2002,Japan,Ōita,2002
2002-06-17,Brazil,2,0,Belgium,FIFA WC 2002,Japan,Kobe,2002
2002-06-17,Mexico,0,2,United States,FIFA WC 2002,South Korea,Jeonju,2002
2002-06-18,Japan,0,1,Turkey,FIFA WC 2002,Japan,Rifu,2002
2002-06-18,South Korea,2,1,Italy,FIFA WC 2002,South Korea,Daejeon,2002
2002-06-21,England,1,2,Brazil,FIFA WC 2002,Japan,Fukuroi,2002
2002-06-21,Germany,1,0,United States,FIFA WC 2002,South Korea,Ulsan,2002
2002-06-22,South Korea,0,0,Spain,FIFA WC 2002,South Korea,Gwangju,2002
2002-06-22,Senegal,0,1,Turkey,FIFA WC 2002,Japan,Osaka,2002
2002-06-25,South Korea,0,1,Germany,FIFA WC 2002,South Korea,Seoul,2002
2002-06-26,Brazil,1,0,Turkey,FIFA WC 2002,Japan,Saitama,2002
2002-06-29,South Korea,2,3,Turkey,FIFA WC 2002,South Korea,Daegu,2002
2002-06-30,Germany,0,2,Brazil,FIFA WC 2002,Japan,Yokohama,2002
2006-06-09,Germany,4,2,Costa Rica,FIFA WC 2006,Germany,Munich,2006
2006-06-09,Poland,0,2,Ecuador,FIFA WC 2006,Germany,Gelsenkirchen,2006
2006-06-10,Argentina,2,1,Ivory Coast,FIFA WC 2006,Germany,Hamburg,2006
2006-06-10,England,1,0,Paraguay,FIFA WC 2006,Germany,Frankfurt am Main,2006
2006-06-10,Trinidad and Tobago,0,0,Sweden,FIFA WC 2006,Germany,Dortmund,2006
2006-06-11,Angola,0,1,Portugal,FIFA WC 2006,Germany,Cologne,2006
2006-06-11,Mexico,3,1,Iran,FIFA WC 2006,Germany,Nuremberg,2006
2006-06-11,Serbia,0,1,Netherlands,FIFA WC 2006,Germany,Leipzig,2006
2006-06-12,Australia,3,1,Japan,FIFA WC 2006,Germany,Kaiserslautern,2006
2006-06-12,Italy,2,0,Ghana,FIFA WC 2006,Germany,Hanover,2006
2006-06-12,United States,0,3,Czech Republic,FIFA WC 2006,Germany,Gelsenkirchen,2006
2006-06-13,Brazil,1,0,Croatia,FIFA WC 2006,Germany,Berlin,2006
2006-06-13,France,0,0,Switzerland,FIFA WC 2006,Germany,Stuttgart,2006
2006-06-13,South Korea,2,1,Togo,FIFA WC 2006,Germany,Frankfurt am Main,2006
2006-06-14,Germany,1,0,Poland,FIFA WC 2006,Germany,Dortmund,2006
2006-06-14,Spain,4,0,Ukraine,FIFA WC 2006,Germany,Leipzig,2006
2006-06-14,Tunisia,2,2,Saudi Arabia,FIFA WC 2006,Germany,Munich,2006
2006-06-15,Ecuador,3,0,Costa Rica,FIFA WC 2006,Germany,Hamburg,2006
2006-06-15,England,2,0,Trinidad and Tobago,FIFA WC 2006,Germany,Nuremberg,2006
2006-06-15,Sweden,1,0,Paraguay,FIFA WC 2006,Germany,Berlin,2006
2006-06-16,Argentina,6,0,Serbia,FIFA WC 2006,Germany,Gelsenkirchen,2006
2006-06-16,Mexico,0,0,Angola,FIFA WC 2006,Germany,Hanover,2006
2006-06-16,Netherlands,2,1,Ivory Coast,FIFA WC 2006,Germany,Stuttgart,2006
2006-06-17,Czech Republic,0,2,Ghana,FIFA WC 2006,Germany,Cologne,2006
2006-06-17,Italy,1,1,United States,FIFA WC 2006,Germany,Kaiserslautern,2006
2006-06-17,Portugal,2,0,Iran,FIFA WC 2006,Germany,Frankfurt am Main,2006
2006-06-18,Brazil,2,0,Australia,FIFA WC 2006,Germany,Munich,2006
2006-06-18,France,1,1,South Korea,FIFA WC 2006,Germany,Leipzig,2006
2006-06-18,Japan,0,0,Croatia,FIFA WC 2006,Germany,Nuremberg,2006
2006-06-19,Saudi Arabia,0,4,Ukraine,FIFA WC 2006,Germany,Hamburg,2006
2006-06-19,Spain,3,1,Tunisia,FIFA WC 2006,Germany,Stuttgart,2006
2006-06-19,Togo,0,2,Switzerland,FIFA WC 2006,Germany,Dortmund,2006
2006-06-20,Costa Rica,1,2,Poland,FIFA WC 2006,Germany,Hanover,2006
2006-06-20,Germany,3,0,Ecuador,FIFA WC 2006,Germany,Berlin,2006
2006-06-20,Paraguay,2,0,Trinidad and Tobago,FIFA WC 2006,Germany,Kaiserslautern,2006
2006-06-20,Sweden,2,2,England,FIFA WC 2006,Germany,Cologne,2006
2006-06-21,Iran,1,1,Angola,FIFA WC 2006,Germany,Leipzig,2006
2006-06-21,Ivory Coast,3,2,Serbia,FIFA WC 2006,Germany,Munich,2006
2006-06-21,Netherlands,0,0,Argentina,FIFA WC 2006,Germany,Frankfurt am Main,2006
2006-06-21,Portugal,2,1,Mexico,FIFA WC 2006,Germany,Gelsenkirchen,2006
2006-06-22,Croatia,2,2,Australia,FIFA WC 2006,Germany,Stuttgart,2006
2006-06-22,Czech Republic,0,2,Italy,FIFA WC 2006,Germany,Hamburg,2006
2006-06-22,Ghana,2,1,United States,FIFA WC 2006,Germany,Nuremberg,2006
2006-06-22,Japan,1,4,Brazil,FIFA WC 2006,Germany,Dortmund,2006
2006-06-23,Saudi Arabia,0,1,Spain,FIFA WC 2006,Germany,Kaiserslautern,2006
2006-06-23,Switzerland,2,0,South Korea,FIFA WC 2006,Germany,Hanover,2006
2006-06-23,Togo,0,2,France,FIFA WC 2006,Germany,Cologne,2006
2006-06-23,Ukraine,1,0,Tunisia,FIFA WC 2006,Germany,Berlin,2006
2006-06-24,Argentina,2,1,Mexico,FIFA WC 2006,Germany,Leipzig,2006
2006-06-24,Germany,2,0,Sweden,FIFA WC 2006,Germany,Munich,2006
2006-06-25,England,1,0,Ecuador,FIFA WC 2006,Germany,Stuttgart,2006
2006-06-25,Portugal,1,0,Netherlands,FIFA WC 2006,Germany,Nuremberg,2006
2006-06-26,Italy,1,0,Australia,FIFA WC 2006,Germany,Kaiserslautern,2006
2006-06-26,Switzerland,0,0,Ukraine,FIFA WC 2006,Germany,Cologne,2006
2006-06-27,Brazil,3,0,Ghana,FIFA WC 2006,Germany,Dortmund,2006
2006-06-27,Spain,1,3,France,FIFA WC 2006,Germany,Hanover,2006
2006-06-30,Germany,1,1,Argentina,FIFA WC 2006,Germany,Berlin,2006
2006-06-30,Italy,3,0,Ukraine,FIFA WC 2006,Germany,Hamburg,2006
2006-07-01,Brazil,0,1,France,FIFA WC 2006,Germany,Frankfurt am Main,2006
2006-07-01,England,0,0,Portugal,FIFA WC 2006,Germany,Gelsenkirchen,2006
2006-07-04,Germany,0,2,Italy,FIFA WC 2006,Germany,Dortmund,2006
2006-07-05,Portugal,0,1,France,FIFA WC 2006,Germany,Munich,2006
2006-07-08,Germany,3,1,Portugal,FIFA WC 2006,Germany,Stuttgart,2006
2006-07-09,Italy,1,1,France,FIFA WC 2006,Germany,Berlin,2006
2010-06-11,South Africa,1,1,Mexico,FIFA WC 2010,South Africa,Johannesburg,2010
2010-06-11,Uruguay,0,0,France,FIFA WC 2010,South Africa,Cape Town,2010
2010-06-12,Argentina,1,0,Nigeria,FIFA WC 2010,South Africa,Johannesburg,2010
2010-06-12,England,1,1,United States,FIFA WC 2010,South Africa,Rustenburg,2010
2010-06-12,South Korea,2,0,Greece,FIFA WC 2010,South Africa,Port Elizabeth,2010
2010-06-13,Algeria,0,1,Slovenia,FIFA WC 2010,South Africa,Polokwane,2010
2010-06-13,Germany,4,0,Australia,FIFA WC 2010,South Africa,Durban,2010
2010-06-13,Serbia,0,1,Ghana,FIFA WC 2010,South Africa,Pretoria,2010
2010-06-14,Italy,1,1,Paraguay,FIFA WC 2010,South Africa,Cape Town,2010
2010-06-14,Japan,1,0,Cameroon,FIFA WC 2010,South Africa,Bloemfontein,2010
2010-06-14,Netherlands,2,0,Denmark,FIFA WC 2010,South Africa,Johannesburg,2010
2010-06-15,Brazil,2,1,North Korea,FIFA WC 2010,South Africa,Johannesburg,2010
2010-06-15,Ivory Coast,0,0,Portugal,FIFA WC 2010,South Africa,Port Elizabeth,2010
2010-06-15,New Zealand,1,1,Slovakia,FIFA WC 2010,South Africa,Rustenburg,2010
2010-06-16,Honduras,0,1,Chile,FIFA WC 2010,South Africa,Nelspruit,2010
2010-06-16,South Africa,0,3,Uruguay,FIFA WC 2010,South Africa,Pretoria,2010
2010-06-16,Spain,0,1,Switzerland,FIFA WC 2010,South Africa,Durban,2010
2010-06-17,Argentina,4,1,South Korea,FIFA WC 2010,South Africa,Johannesburg,2010
2010-06-17,France,0,2,Mexico,FIFA WC 2010,South Africa,Polokwane,2010
2010-06-17,Greece,2,1,Nigeria,FIFA WC 2010,South Africa,Bloemfontein,2010
2010-06-18,England,0,0,Algeria,FIFA WC 2010,South Africa,Cape Town,2010
2010-06-18,Germany,0,1,Serbia,FIFA WC 2010,South Africa,Port Elizabeth,2010
2010-06-18,Slovenia,2,2,United States,FIFA WC 2010,South Africa,Johannesburg,2010
2010-06-19,Cameroon,1,2,Denmark,FIFA WC 2010,South Africa,Pretoria,2010
2010-06-19,Ghana,1,1,Australia,FIFA WC 2010,South Africa,Rustenburg,2010
2010-06-19,Netherlands,1,0,Japan,FIFA WC 2010,South Africa,Durban,2010
2010-06-20,Brazil,3,1,Ivory Coast,FIFA WC 2010,South Africa,Johannesburg,2010
2010-06-20,Italy,1,1,New Zealand,FIFA WC 2010,South Africa,Nelspruit,2010
2010-06-20,Slovakia,0,2,Paraguay,FIFA WC 2010,South Africa,Bloemfontein,2010
2010-06-21,Chile,1,0,Switzerland,FIFA WC 2010,South Africa,Port Elizabeth,2010
2010-06-21,Portugal,7,0,North Korea,FIFA WC 2010,South Africa,Cape Town,2010
2010-06-21,Spain,2,0,Honduras,FIFA WC 2010,South Africa,Johannesburg,2010
2010-06-22,Greece,0,2,Argentina,FIFA WC 2010,South Africa,Polokwane,2010
2010-06-22,Mexico,0,1,Uruguay,FIFA WC 2010,South Africa,Rustenburg,2010
2010-06-22,Nigeria,2,2,South Korea,FIFA WC 2010,South Africa,Durban,2010
2010-06-22,South Africa,2,1,France,FIFA WC 2010,South Africa,Bloemfontein,2010
2010-06-23,Australia,2,1,Serbia,FIFA WC 2010,South Africa,Nelspruit,2010
2010-06-23,Ghana,0,1,Germany,FIFA WC 2010,South Africa,Johannesburg,2010
2010-06-23,Slovenia,0,1,England,FIFA WC 2010,South Africa,Port Elizabeth,2010
2010-06-23,United States,1,0,Algeria,FIFA WC 2010,South Africa,Pretoria,2010
2010-06-24,Cameroon,1,2,Netherlands,FIFA WC 2010,South Africa,Cape Town,2010
2010-06-24,Denmark,1,3,Japan,FIFA WC 2010,South Africa,Rustenburg,2010
2010-06-24,Paraguay,0,0,New Zealand,FIFA WC 2010,South Africa,Polokwane,2010
2010-06-24,Slovakia,3,2,Italy,FIFA WC 2010,South Africa,Johannesburg,2010
2010-06-25,Chile,1,2,Spain,FIFA WC 2010,South Africa,Pretoria,2010
2010-06-25,North Korea,0,3,Ivory Coast,FIFA WC 2010,South Africa,Nelspruit,2010
2010-06-25,Portugal,0,0,Brazil,FIFA WC 2010,South Africa,Durban,2010
2010-06-25,Switzerland,0,0,Honduras,FIFA WC 2010,South Africa,Bloemfontein,2010
2010-06-26,Uruguay,2,1,South Korea,FIFA WC 2010,South Africa,Port Elizabeth,2010
2010-06-26,United States,1,2,Ghana,FIFA WC 2010,South Africa,Rustenburg,2010
2010-06-27,Argentina,3,1,Mexico,FIFA WC 2010,South Africa,Johannesburg,2010
2010-06-27,Germany,4,1,England,FIFA WC 2010,South Africa,Bloemfontein,2010
2010-06-28,Brazil,3,0,Chile,FIFA WC 2010,South Africa,Johannesburg,2010
2010-06-28,Netherlands,2,1,Slovakia,FIFA WC 2010,South Africa,Durban,2010
2010-06-29,Paraguay,0,0,Japan,FIFA WC 2010,South Africa,Pretoria,2010
2010-06-29,Spain,1,0,Portugal,FIFA WC 2010,South Africa,Cape Town,2010
2010-07-02,Netherlands,2,1,Brazil,FIFA WC 2010,South Africa,Port Elizabeth,2010
2010-07-02,Uruguay,1,1,Ghana,FIFA WC 2010,South Africa,Johannesburg,2010
2010-07-03,Argentina,0,4,Germany,FIFA WC 2010,South Africa,Cape Town,2010
2010-07-03,Paraguay,0,1,Spain,FIFA WC 2010,South Africa,Johannesburg,2010
2010-07-06,Uruguay,2,3,Netherlands,FIFA WC 2010,South Africa,Cape Town,2010
2010-07-07,Germany,0,1,Spain,FIFA WC 2010,South Africa,Durban,2010
2010-07-10,Uruguay,2,3,Germany,FIFA WC 2010,South Africa,Port Elizabeth,2010
2010-07-11,Netherlands,0,1,Spain,FIFA WC 2010,South Africa,Johannesburg,2010
2014-06-12,Brazil,3,1,Croatia,FIFA WC 2014,Brazil,São Paulo,2014
2014-06-13,Chile,3,1,Australia,FIFA WC 2014,Brazil,Cuiabá,2014
2014-06-13,Mexico,1,0,Cameroon,FIFA WC 2014,Brazil,Natal,2014
2014-06-13,Spain,1,5,Netherlands,FIFA WC 2014,Brazil,Salvador,2014
2014-06-14,Colombia,3,0,Greece,FIFA WC 2014,Brazil,Belo Horizonte,2014
2014-06-14,England,1,2,Italy,FIFA WC 2014,Brazil,Manaus,2014
2014-06-14,Ivory Coast,2,1,Japan,FIFA WC 2014,Brazil,Recife,2014
2014-06-14,Uruguay,1,3,Costa Rica,FIFA WC 2014,Brazil,Fortaleza,2014
2014-06-15,Argentina,2,1,Bosnia and Herzegovina,FIFA WC 2014,Brazil,Rio de Janeiro,2014
2014-06-15,France,3,0,Honduras,FIFA WC 2014,Brazil,Porto Alegre,2014
